,Unnamed: 0,Topics,Description,Topic_URL,Popular_repository(most_starred),Repo_Username,Repo_URL,Number_Of_Stars,Forked_count,Total_commits,Last_commited
31,31,Crystal,"Crystal is a self-hosted, general purpose programming language.",https://github.com/topics/crystal,crystal,crystal-lang,https://github.com/crystal-lang/crystal,16666,1274,13305,2021-08-06T09:19:55Z
32,32,C#,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://github.com/topics/csharp,calculator,microsoft,https://github.com/microsoft/calculator,22446,3976,672,2021-08-04T05:09:01Z
33,33,CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css,bootstrap,twbs,https://github.com/twbs/bootstrap,152252,74326,21112,2021-08-05T15:06:46Z
34,34,Data structures,Data structures are a way of organizing and storing data.,https://github.com/topics/data-structures,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,189290,50833,1735,2021-07-31T17:45:09Z
35,35,Data visualization,Data visualization is the graphic representation of data and trends.,https://github.com/topics/data-visualization,d3,d3,https://github.com/d3/d3,97774,22744,4304,2021-07-04T17:09:58Z
36,36,Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database,etcd,etcd-io,https://github.com/etcd-io/etcd,36813,7876,17277,2021-08-06T14:51:51Z
37,37,Deep learning,Deep Learning is an artificial neural network composed of many layers.,https://github.com/topics/deep-learning,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,158017,85269,115679,2021-08-08T15:16:55Z
38,38,Dependency management,Secure and manage your third-party dependencies.,https://github.com/topics/dependency-management,vg,GetStream,https://github.com/GetStream/vg,1219,44,297,2020-01-16T14:39:29Z
39,39,Deployment,Streamline your code deployment so you can focus on your product.,https://github.com/topics/deployment,fastlane,fastlane,https://github.com/fastlane/fastlane,32716,4955,16143,2021-08-06T19:03:43Z
40,40,Django,Django is a web application framework for Python.,https://github.com/topics/django,django,django,https://github.com/django/django,58959,25186,29894,2021-08-06T11:00:24Z
41,41,Docker,Docker is a platform built for developers to build and run applications.,https://github.com/topics/docker,moby,moby,https://github.com/moby/moby,60819,17587,43011,2021-08-07T13:46:03Z
42,42,Documentation,Documentation is a set of information that describes a product to its users.,https://github.com/topics/documentation,the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,93452,10216,1191,2020-09-07T19:20:29Z
43,43,.NET,".NET is a free, cross-platform, open source developer platform.",https://github.com/topics/dotnet,aspnetcore,dotnet,https://github.com/dotnet/aspnetcore,25326,6660,47762,2021-08-07T21:06:42Z
44,44,Electron,Electron is a framework for building cross-platform desktop applications with web technology.,https://github.com/topics/electron,vscode,microsoft,https://github.com/microsoft/vscode,119843,19615,86063,2021-08-08T13:53:01Z
45,45,Elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://github.com/topics/elixir,phoenix,phoenixframework,https://github.com/phoenixframework/phoenix,17010,2253,6855,2021-08-07T12:40:35Z
46,46,Emacs,"Emacs is an extensible, customizable, free text editor and computing environment.",https://github.com/topics/emacs,spacemacs,syl20bnr,https://github.com/syl20bnr/spacemacs,21643,4924,11938,2021-08-02T20:55:49Z
47,47,Ember,Ember is a framework for creating web applications.,https://github.com/topics/ember,storybook,storybookjs,https://github.com/storybookjs/storybook,63848,6419,35486,2021-08-08T02:43:49Z
48,48,Emoji,"Emojis are graphic symbols that represent an emotion, object, or concept.",https://github.com/topics/emoji,rich,willmcgugan,https://github.com/willmcgugan/rich,27833,848,2174,2021-08-07T11:30:24Z
49,49,Emulator,An emulator is any hardware or software that allows one computer to behave like another.,https://github.com/topics/emulator,yuzu,yuzu-emu,https://github.com/yuzu-emu/yuzu,15450,1344,19393,2021-08-08T09:57:40Z
50,50,ESLint,The pluggable linting utility for JavaScript and JSX.,https://github.com/topics/eslint,javascript,airbnb,https://github.com/airbnb/javascript,112683,21591,1875,2021-06-19T01:49:13Z
51,51,Ethereum,Ethereum is a distributed public blockchain network.,https://github.com/topics/ethereum,go-ethereum,ethereum,https://github.com/ethereum/go-ethereum,31723,11650,12774,2021-08-08T13:44:42Z
52,52,Express,Express is a minimal Node.js framework for web and mobile applications.,https://github.com/topics/express,nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,69528,6959,3429,2021-08-01T14:35:36Z
53,53,Firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://github.com/topics/firebase,supabase,supabase,https://github.com/supabase/supabase,16700,776,3120,2021-08-08T10:46:00Z
54,54,Firefox,Firefox is an open source web browser from Mozilla.,https://github.com/topics/firefox,mkcert,FiloSottile,https://github.com/FiloSottile/mkcert,31239,1420,152,2021-02-13T02:34:52Z
55,55,Flask,Flask is a web framework for Python based on the Werkzeug toolkit.,https://github.com/topics/flask,flask,pallets,https://github.com/pallets/flask,56259,14511,4395,2021-08-06T02:48:47Z
56,56,Font,A font is a particular style of typeface for text.,https://github.com/topics/font,Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,65912,11531,77,2021-08-04T19:09:22Z
57,57,Framework,A framework is a reusable set of libraries or classes in software.,https://github.com/topics/framework,vue,vuejs,https://github.com/vuejs/vue,186562,29827,3193,2021-08-05T09:21:12Z
58,58,Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend,vue,vuejs,https://github.com/vuejs/vue,186562,29827,3193,2021-08-05T09:21:12Z
59,59,Game engine,A game engine is a software framework used to develop and create video games.,https://github.com/topics/game-engine,godot,godotengine,https://github.com/godotengine/godot,40907,7457,36462,2021-08-08T11:58:13Z
60,60,Git,Git is the most widely used version control system.,https://github.com/topics/git,gitignore,github,https://github.com/github/gitignore,121784,67526,3323,2021-06-10T04:32:08Z
61,61,GitHub API,The GitHub API allows you to build applications that integrate with GitHub.,https://github.com/topics/github-api,hub,github,https://github.com/github/hub,21081,2221,3311,2021-03-19T16:37:17Z
62,62,Go,Go is a programming language built to resemble a simplified version of the C programming language.,https://github.com/topics/go,go,golang,https://github.com/golang/go,88540,13011,48417,2021-08-07T01:29:22Z
63,63,Google,Google LLC is an American multinational technology company that specializes in Internet-related services and products.,https://github.com/topics/google,bert,google-research,https://github.com/google-research/bert,28745,8141,111,2020-03-11T15:19:54Z
